iter	MultiClass
0	-1.57390495
1	-1.545397086
2	-1.521297785
3	-1.500529207
4	-1.483032533
5	-1.468333834
6	-1.455105758
7	-1.443049924
8	-1.43351055
9	-1.42531166
10	-1.417337641
11	-1.409711694
12	-1.402976704
13	-1.397568495
14	-1.392855398
15	-1.388058925
16	-1.383370309
17	-1.379196875
18	-1.375180465
19	-1.372385724
20	-1.369750551
21	-1.365785256
22	-1.363752719
23	-1.360847894
24	-1.359426723
25	-1.357785345
26	-1.356119297
27	-1.353994121
28	-1.352153871
29	-1.350054719
30	-1.348313611
31	-1.345825455
32	-1.344683203
33	-1.34393149
34	-1.342662421
35	-1.341449744
36	-1.339621756
37	-1.338316261
38	-1.337442535
39	-1.335922293
40	-1.33443681
41	-1.333090355
42	-1.331966779
43	-1.330876919
44	-1.330385286
45	-1.329601847
46	-1.328759824
47	-1.32797021
48	-1.326505321
49	-1.325667355
50	-1.323717424
51	-1.322718816
52	-1.321026518
53	-1.319944091
54	-1.317732718
55	-1.316585235
56	-1.315585392
57	-1.314887094
58	-1.313865956
59	-1.312942851
60	-1.312139856
61	-1.310947163
62	-1.309160626
63	-1.308570843
64	-1.308104278
65	-1.306904855
66	-1.30592221
67	-1.305294345
68	-1.303523422
69	-1.302349323
70	-1.301316262
71	-1.300396121
72	-1.299400388
73	-1.298481055
74	-1.297851768
75	-1.297289509
76	-1.296523698
77	-1.295485265
78	-1.294437051
79	-1.293347907
