iter	Passed	Remaining
0	135	13410
1	285	13990
2	481	15568
3	579	13917
4	736	13988
5	867	13598
6	987	13115
7	1144	13160
8	1273	12876
9	1372	12354
10	1490	12060
11	1651	12110
12	1835	12284
13	1942	11934
14	2042	11576
15	2147	11276
16	2282	11145
17	2382	10853
18	2489	10615
19	2598	10393
20	2698	10151
21	2791	9895
22	2886	9662
23	2980	9437
24	3077	9231
25	3174	9035
26	3268	8836
27	3372	8673
28	3512	8599
29	3624	8457
30	3725	8293
31	3797	8068
32	3951	8022
33	4098	7956
34	4196	7793
35	4291	7629
36	4491	7648
37	4583	7477
38	4675	7312
39	4770	7155
40	4867	7005
41	4972	6866
42	5065	6714
43	5156	6562
44	5249	6416
45	5346	6275
46	5457	6154
47	5554	6017
48	5650	5880
49	5739	5739
50	5835	5606
51	5930	5474
52	6037	5353
53	6130	5222
54	6223	5092
55	6325	4970
56	6440	4858
57	6538	4734
58	6630	4607
59	6726	4484
60	6815	4357
61	6910	4235
62	7012	4118
63	7110	3999
64	7202	3878
65	7295	3758
66	7407	3648
67	7550	3553
68	7742	3478
69	7899	3385
70	8045	3286
71	8163	3174
72	8262	3056
73	8362	2938
74	8474	2824
75	8564	2704
76	8667	2588
77	8760	2471
78	8856	2354
79	8946	2236
80	9043	2121
81	9143	2007
82	9236	1891
83	9338	1778
84	9458	1669
85	9547	1554
86	9654	1442
87	9904	1350
88	10123	1251
89	10244	1138
90	10358	1024
91	10468	910
92	10568	795
93	10663	680
94	10768	566
95	10868	452
96	10966	339
97	11078	226
98	11182	112
99	11395	0
