iter	MultiClass
0	-1.601085217
1	-1.593177388
2	-1.584538601
3	-1.575814335
4	-1.567874676
5	-1.559803737
6	-1.552539982
7	-1.544985711
8	-1.53807013
9	-1.532786575
10	-1.527160802
11	-1.521295105
12	-1.515848909
13	-1.510869544
14	-1.505628526
15	-1.501134069
16	-1.496425615
17	-1.491867267
18	-1.487203212
19	-1.482895821
20	-1.478769263
21	-1.475551239
22	-1.471966037
23	-1.468332245
24	-1.464950791
25	-1.461977615
26	-1.459122063
27	-1.456102589
28	-1.453482372
29	-1.450519976
30	-1.448166247
31	-1.44609236
32	-1.442684786
33	-1.438940648
34	-1.436465603
35	-1.434024315
36	-1.431412114
37	-1.429108593
38	-1.427158357
39	-1.425020265
40	-1.42345461
41	-1.420616381
42	-1.419061904
43	-1.417308533
44	-1.415762448
45	-1.413257777
46	-1.411228394
