iter	Passed	Remaining
0	182	91136
1	376	93833
2	558	92537
3	744	92272
4	937	92772
5	1122	92436
6	1309	92235
7	1522	93621
8	1743	95120
9	1969	96502
10	2241	99648
11	2460	100068
12	2666	99875
13	2872	99723
14	3079	99578
15	3279	99216
16	3498	99385
17	3736	100055
18	3965	100393
19	4181	100365
20	4398	100332
21	4589	99711
22	4771	98951
23	4958	98337
24	5145	97770
25	5332	97211
26	5524	96780
27	5656	95346
28	5890	95677
29	6123	95934
30	6268	94838
31	6505	95148
32	6735	95322
33	6879	94286
34	7112	94499
35	7331	94494
36	7519	94099
37	7757	94311
38	7964	94140
39	8158	93826
40	8403	94080
41	8599	93778
42	8819	93733
43	9041	93702
44	9234	93368
45	9361	92398
46	9560	92146
47	9776	92060
48	10012	92151
49	10243	92192
50	10376	91357
51	10586	91205
52	10808	91154
53	11000	90858
54	11184	90490
55	11371	90156
56	11557	89823
57	11741	89477
58	11921	89111
59	12117	88859
60	12241	88096
61	12417	87720
62	12599	87394
63	12783	87086
64	12962	86749
65	13142	86418
66	13325	86117
67	13457	85495
68	13640	85206
69	13832	84969
70	14014	84678
71	14198	84403
72	14383	84132
73	14604	84074
74	14858	84199
75	15044	83931
76	15265	83862
77	15484	83776
78	15684	83585
79	15864	83290
80	16054	83048
81	16235	82763
82	16420	82497
83	16624	82333
84	16859	82314
85	17073	82192
86	17328	82262
87	17541	82124
88	17738	81915
89	17980	81909
90	18170	81668
91	18378	81502
92	18580	81314
93	19014	82126
94	19499	83130
95	19980	84085
96	20445	84944
97	20822	85415
98	21239	86031
99	21658	86632
100	22036	87053
101	22441	87566
102	22796	87866
103	23256	88553
104	23757	89374
105	24273	90224
106	24786	91037
107	25188	91425
108	25698	92184
109	26170	92787
110	26632	93333
111	27063	93754
112	27524	94263
113	27959	94671
114	28458	95272
115	28990	95967
116	29549	96730
117	29959	96987
118	30455	97509
119	30901	97854
120	31400	98353
121	31803	98540
122	32082	98334
123	32305	97958
124	32523	97570
125	32712	97098
126	32949	96772
127	33147	96335
128	33342	95891
129	33582	95582
130	33769	95122
131	33950	94649
132	34130	94179
133	34326	93757
134	34528	93355
135	34716	92917
136	34907	92492
137	35102	92079
138	35289	91652
139	35504	91298
140	35691	90873
141	35876	90448
142	36056	90014
143	36248	89614
144	36449	89239
145	36683	88943
146	36910	88635
147	37118	88282
148	37301	87871
149	37519	87545
150	37747	87243
151	37935	86851
152	38160	86547
153	38394	86262
154	38619	85958
155	38811	85584
156	39046	85305
157	39296	85059
158	39530	84778
159	39747	84462
160	39936	84090
161	40132	83734
162	40509	83752
163	40850	83693
164	41225	83699
165	41652	83806
166	41992	83733
167	42391	83773
168	42844	83913
169	43422	84290
170	43875	84415
171	44228	84342
172	44586	84276
173	44976	84265
174	45380	84277
175	45794	84303
176	46158	84232
177	46508	84132
178	46858	84031
179	47253	84005
180	47548	83800
181	47757	83444
182	47975	83104
183	48175	82736
184	48467	82525
185	48680	82180
186	48914	81873
187	49180	81617
188	49419	81319
189	49652	81012
190	49858	80660
191	50065	80313
192	50254	79939
193	50455	79584
194	50642	79209
195	50825	78831
196	51011	78458
197	51194	78085
198	51376	77710
199	51552	77328
200	51733	76956
201	51911	76582
202	52095	76218
203	52279	75856
204	52463	75496
205	52644	75133
206	52832	74781
207	53111	74560
208	53351	74283
209	53667	74112
210	54065	74052
211	54426	73937
212	54799	73837
213	55138	73689
214	55488	73554
215	55844	73424
216	56193	73285
217	56556	73160
218	56935	73053
219	57447	73115
220	57961	73173
221	58423	73160
222	58754	72982
223	58985	72678
224	59227	72388
225	59468	72098
226	59678	71771
227	59867	71420
228	60066	71083
229	60363	70861
230	60592	70560
231	60832	70272
232	61055	69965
233	61310	69694
234	61537	69393
235	61774	69103
236	61996	68797
237	62280	68560
238	62566	68325
239	62817	68052
240	63048	67758
241	63242	67423
242	63445	67100
243	63649	66779
244	63943	66553
245	64300	66392
246	64647	66217
247	65009	66058
248	65370	65895
249	65720	65720
250	66061	65534
251	66411	65357
252	66903	65317
253	67259	65141
254	67618	64966
255	67967	64781
256	68325	64603
257	68676	64417
258	68957	64164
259	69152	63832
260	69351	63505
261	69545	63175
262	69735	62841
263	69926	62510
264	70108	62172
265	70293	61836
266	70475	61501
267	70662	61170
268	70853	60844
269	71038	60514
270	71227	60188
271	71419	59866
272	71608	59542
273	71830	59247
274	72070	58966
275	72306	58683
276	72554	58410
277	72768	58109
278	72968	57799
279	73166	57488
280	73388	57196
281	73600	56896
282	73820	56604
283	74017	56295
284	74198	55973
285	74385	55658
286	74564	55338
287	74744	55020
288	74926	54704
289	75106	54387
290	75284	54070
291	75471	53760
292	75655	53449
293	75847	53144
294	76041	52842
295	76212	52525
296	76406	52223
297	76602	51925
298	76796	51625
299	76993	51329
300	77278	51090
301	77626	50894
302	77989	50705
303	78339	50508
304	78696	50314
305	79064	50125
306	79435	49938
307	79810	49752
308	80172	49556
309	80622	49413
310	81139	49310
311	81583	49159
312	82043	49016
313	82361	48787
314	82604	48513
315	82837	48234
316	83056	47947
317	83271	47658
318	83515	47386
319	83750	47109
320	83978	46829
321	84211	46551
322	84602	46361
323	85076	46214
324	85595	46089
325	86153	45983
326	86591	45811
327	87233	45744
328	87723	45594
329	88192	45432
330	88819	45349
331	89337	45207
332	89880	45075
333	90335	44897
334	90754	44699
335	91285	44556
336	91891	44446
337	92387	44280
338	92843	44094
339	93468	43985
340	93878	43773
341	94254	43544
342	94782	43384
343	95190	43167
344	95832	43055
345	96450	42928
346	97002	42770
347	97585	42623
348	98379	42565
