iter	Passed	Remaining
0	29	14524
1	63	15881
2	86	14284
3	97	12122
4	128	12674
5	143	11834
6	159	11250
7	171	10537
8	193	10573
9	209	10248
10	237	10554
11	274	11153
12	291	10932
13	309	10727
14	320	10378
15	347	10503
16	364	10349
17	373	10002
18	394	9974
19	407	9789
20	431	9853
21	445	9672
22	478	9929
23	495	9828
24	519	9869
25	538	9818
26	563	9868
27	583	9841
28	612	9955
29	642	10064
30	671	10152
31	699	10231
32	719	10183
33	733	10050
34	763	10141
35	806	10389
36	843	10549
37	882	10725
38	913	10793
39	952	10958
40	985	11034
41	1023	11164
42	1042	11083
43	1070	11093
44	1092	11048
45	1108	10936
46	1128	10878
47	1155	10883
48	1184	10902
49	1212	10915
50	1230	10833
51	1250	10775
52	1266	10684
53	1290	10661
54	1310	10605
55	1334	10581
56	1353	10519
57	1379	10512
58	1391	10401
59	1397	10246
60	1413	10172
61	1449	10240
62	1473	10220
63	1491	10159
64	1502	10053
65	1511	9940
66	1519	9823
67	1544	9809
68	1577	9854
69	1607	9872
70	1645	9940
71	1672	9941
72	1707	9985
73	1723	9921
74	1737	9846
75	1757	9805
76	1784	9800
77	1800	9739
78	1808	9638
79	1829	9607
80	1880	9726
81	1896	9666
82	1924	9669
83	1956	9688
84	1985	9693
85	2029	9770
86	2058	9774
87	2086	9767
88	2110	9748
89	2138	9741
90	2162	9717
91	2185	9690
92	2203	9642
93	2229	9628
94	2240	9549
95	2258	9506
96	2287	9504
97	2324	9533
98	2353	9532
99	2385	9540
100	2415	9540
101	2450	9562
102	2492	9605
103	2534	9651
104	2572	9675
105	2609	9698
106	2647	9723
107	2683	9738
108	2716	9743
109	2745	9735
110	2785	9761
111	2826	9792
112	2840	9729
113	2863	9695
114	2890	9677
115	2918	9661
116	2956	9678
117	2988	9675
118	3024	9683
119	3052	9667
120	3080	9650
121	3108	9630
122	3133	9603
123	3165	9598
124	3194	9582
125	3221	9562
126	3248	9541
127	3276	9523
128	3305	9505
129	3336	9495
130	3364	9477
131	3395	9465
132	3424	9450
133	3452	9430
134	3480	9410
135	3507	9388
136	3535	9368
137	3561	9341
138	3587	9317
139	3613	9292
140	3641	9272
141	3669	9250
142	3694	9223
143	3722	9202
144	3756	9197
145	3802	9220
146	3840	9221
147	3870	9204
148	3907	9205
149	3936	9184
150	3965	9165
151	3993	9141
152	4029	9139
153	4057	9116
154	4085	9092
155	4113	9070
156	4140	9046
157	4171	9028
158	4197	9001
159	4224	8977
160	4253	8955
161	4281	8932
162	4309	8909
163	4338	8887
164	4367	8867
165	4398	8849
166	4425	8825
167	4454	8803
168	4484	8782
169	4519	8773
170	4546	8748
171	4573	8720
172	4600	8696
173	4626	8668
174	4654	8644
175	4685	8624
176	4715	8605
177	4745	8583
178	4771	8556
179	4800	8534
180	4839	8529
181	4877	8522
182	4914	8512
183	4943	8489
184	4969	8461
185	4998	8437
186	5040	8436
187	5069	8412
188	5097	8387
189	5123	8359
190	5153	8336
191	5180	8310
192	5207	8282
193	5233	8255
194	5263	8233
195	5295	8213
196	5326	8192
197	5355	8169
198	5384	8144
199	5416	8124
200	5445	8100
201	5476	8078
202	5507	8057
203	5538	8036
204	5571	8017
205	5599	7992
206	5631	7970
207	5662	7948
208	5693	7926
209	5724	7904
210	5759	7888
211	5801	7881
212	5842	7872
213	5875	7851
214	5903	7825
215	5933	7801
216	5963	7777
217	5989	7748
218	6028	7735
219	6057	7709
220	6087	7685
221	6117	7660
222	6144	7632
223	6170	7602
224	6196	7574
225	6223	7544
226	6277	7549
227	6310	7527
228	6336	7499
229	6369	7477
230	6396	7449
231	6425	7422
232	6453	7395
233	6482	7368
234	6508	7338
235	6533	7308
236	6560	7280
237	6589	7254
238	6617	7226
239	6648	7202
240	6678	7177
241	6706	7149
242	6747	7135
243	6789	7123
244	6823	7102
245	6852	7075
246	6880	7047
247	6912	7024
248	6943	6998
249	6982	6982
250	7013	6957
251	7054	6942
252	7083	6915
253	7111	6887
254	7140	6860
255	7166	6830
256	7193	6801
257	7220	6773
258	7247	6743
259	7275	6716
260	7304	6688
261	7348	6675
